,District,Latitude,Longitude
,Adoni,15° 38' N,77° 19' E
,Allur,14° 41' N,80° 05' E
,Amaravati,16° 50' N,80° 15' E
,Anakapalle,17° 41' N,83° 03' E
,Anantapur,14° 41' N,77° 39' E
,Atmakur,14° 37' N,79° 40' E
,Banganpalle,15° 19' N,78° 17' E
,Bapatala,15° 54' N,80° 30' E
,Bimlipatnam,17° 53' N,83° 30' E
,Bobbili,18° 34' N,83° 25' E
,Chennur,19° 07' N,79° 43' E
,Chipurupalle,17° 30' N,83° 12' E
,Chittoor,13° 13' N,79° 08' E
,Coringa,16° 48' N,82° 16' E
,Cuddapah,14° 28' N,78° 52' E
,Darsi,15° 46' N,79° 44' E
,Dharmavaram,14° 24' N,77° 00' E
,Eluru,16° 43' N,81° 09' E
,Erramala Range,15° 20' N,78° 00' E
,Godavari R.,16° 35' N,82° 15' E
,Gooty,15° 07' N,77° 41' E
,Gudur,14° 09' N,79° 54' E
,Guntakal,15° 11' N,77° 25' E
,Guntur,16° 18' N,80° 29' E
,Gurramkonda,13° 47' N,78° 38' E
,Gurzalla,16° 30' N,78° 56' E
,Hindupur,13° 49' N,77° 32' E
,Ichchapuram,19° 07' N,84° 44' E
,Jaggayyapeta,16° 52' N,80° 09' E
,Jammalamadugu,14° 51' N,78° 25' E
,Kadapa,15° 34' N,79° 09' E
,Kadiri,14° 07' N,78° 14' E
,Kakinada,16° 57' N,82° 15' E
,Kalahasti,13° 45' N,79° 44' E
,Kalingapatnam,18° 20' N,84° 10' E
,Kandukur,15° 12' N,79° 57' E
,Kanigiri,15° 23' N,79° 32' E
,Kavali,14° 55' N,80° 03' E
,Koilkuntla,15° 27' N,78° 18' E
,Kondapalli,16° 38' N,80° 36' E
,Krishna,15° 55' N,81° 10' E
,Kurnool,15° 50' N,78° 05' E
,Machilipatnam,16° 09' N,81° 12' E
,Madakasira,13° 57' N,77° 19' E
,Mangalagiri,16° 26' N,80° 36' E
,Markapur,15° 44' N,79° 19' E
,Nandigama,16° 46' N,80° 20' E
,Nandikotkur,15° 52' N,78° 18' E
,Nandyal,15° 29' N,78° 32' E
,Narasapur,16° 26' N,81° 45' E
,Narasaraopet,16° 14' N,77° 27' E
,Narsipatnam,17° 40' N,82° 39' E
,Nellore,14° 27' N,80° 02' E
,Nizampatnam,15° 54' N,80° 43' E
,Pakala,13° 3' N,79° 00' E
,Palakollu,16° 31' N,81° 46' E
,Palkonda,18° 36' N,83° 48' E
,Palkonda Range,13° 5' N,79° 2' E
,Pattikonda,15° 24' N,77° 04' E
,Peddapuram,17° 05' N,82° 11' E
,Penukonda,14° 05' N,77° 38' E
,Pithapuram,17° 07' N,82° 19' E
,Podili,15° 36' N,79° 39' E
,Proddatur,14° 45' N,78° 35' E
,Pullivendla,14° 26' N,78° 16' E
,Punganur,13° 25' N,78° 37' E
,Rajahumundry,17° 00' N,81° 48' E
,Ramallakota,15° 35' N,78° 02' E
,Rapur,14° 12' N,79° 36' E
,Rauachoti,14° 04' N,78° 5' E
,Rayadrug,14° 42' N,76° 53' E
,Repalle,16° 02' N,80° 53' E
,Samalkot,17° 03' N,82° 13' E
,Sangareddipet,17° 35' N,78° 02' E
,Sattenapalli,16° 24' N,80° 11' E
,Seshachalam Hills,14° 1' N,78° 3' E
,Sidhout,14° 28' N,79° 01' E
,Tadipatri,14° 56' N,78° 02' E
,Tanuku,16° 45' N,81° 44' E
,Tenali,16° 15' N,80° 35' E
,Tirupati,13° 40' N,79° 20' E
,Tuni,17° 21' N,42° 35' E
,Udayagiri,14° 52' N,79° 19' E
,Vayalpad,13° 48' N,78° 40' E
,Venkatagiri,13° 57' N,69° 37' E
,Vijayawada,16° 31' N,80° 39' E
,Vinukonda,16° 04' N,79° 47' E
,Vizianagram,18° 07' N,83° 27' E
,Waltair,17° 44' N,83° 23' E
,Yemmiganur,15° 46' N,77° 31' E
,Yernagudem,16° 59' N,81° 33' E
