,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
0,12201,General,2,3,2,2,4,4,0,0,4,AIZAWL
1,12201,OBC,2,3,3,4,4,4,2,3,2,AIZAWL
2,12201,Overall,0,0,1,2,3,2,0,4,3,AIZAWL
3,12201,SC,2,1,1,0,2,3,4,0,0,AIZAWL
4,12201,ST,2,1,1,3,3,2,3,2,1,AIZAWL
5,12202,General,1,1,1,4,0,1,4,2,1,CHAMPHAI
6,12202,OBC,0,1,1,4,4,4,0,1,0,CHAMPHAI
7,12202,Overall,0,0,1,1,4,3,0,4,3,CHAMPHAI
8,12202,SC,2,1,1,3,4,0,1,3,4,CHAMPHAI
9,12202,ST,2,1,1,2,1,3,1,2,1,CHAMPHAI
10,12203,General,1,1,1,4,0,1,4,2,1,HNAHTHIAL
11,12203,OBC,0,1,1,2,2,2,0,1,0,HNAHTHIAL
12,12203,Overall,0,0,1,4,0,0,0,4,3,HNAHTHIAL
13,12203,SC,2,1,1,0,4,0,4,0,0,HNAHTHIAL
14,12203,ST,1,0,3,0,1,4,3,2,1,HNAHTHIAL
15,12204,General,1,1,1,4,0,1,4,2,1,KHAWZAWL
16,12204,OBC,0,1,1,2,2,2,0,1,0,KHAWZAWL
17,12204,Overall,0,0,1,1,4,3,2,0,0,KHAWZAWL
18,12204,SC,2,1,1,0,1,0,4,0,0,KHAWZAWL
19,12204,ST,1,0,3,2,1,3,1,4,3,KHAWZAWL
20,12205,General,3,0,3,0,3,3,2,3,2,KOLASIB
21,12205,OBC,0,1,1,3,3,3,0,1,0,KOLASIB
22,12205,Overall,2,3,3,1,1,1,2,3,1,KOLASIB
23,12205,SC,3,2,2,0,1,0,1,4,3,KOLASIB
24,12205,ST,1,0,3,2,0,0,1,0,3,KOLASIB
25,12206,General,0,0,0,3,1,2,0,2,1,LAWNGTLAI
26,12206,OBC,4,0,0,3,3,3,4,0,4,LAWNGTLAI
27,12206,Overall,3,2,4,1,4,3,1,1,1,LAWNGTLAI
28,12206,SC,4,4,4,2,1,2,0,0,0,LAWNGTLAI
29,12206,ST,3,2,4,2,1,3,0,0,0,LAWNGTLAI
30,12207,General,0,2,0,0,2,2,3,0,3,LUNGLEI
31,12207,OBC,4,0,0,1,1,1,4,0,4,LUNGLEI
32,12207,Overall,2,2,2,0,1,1,2,0,0,LUNGLEI
33,12207,SC,1,3,3,1,3,0,2,2,2,LUNGLEI
34,12207,ST,4,2,2,1,0,0,2,3,2,LUNGLEI
35,12208,General,0,2,0,1,0,0,1,1,0,MAMIT
36,12208,OBC,3,4,4,1,1,1,3,4,3,MAMIT
37,12208,Overall,2,2,2,3,2,0,1,1,1,MAMIT
38,12208,SC,0,0,0,1,0,1,0,1,0,MAMIT
39,12208,ST,4,2,2,0,2,1,0,0,0,MAMIT
40,12209,General,0,2,0,1,0,0,1,1,0,SAIHA
41,12209,OBC,1,0,0,0,0,0,1,0,1,SAIHA
42,12209,Overall,1,4,0,0,1,4,3,2,2,SAIHA
43,12209,SC,0,0,0,4,0,4,0,1,0,SAIHA
44,12209,ST,0,4,0,1,0,0,2,1,2,SAIHA
45,12210,General,4,2,0,1,0,0,1,1,0,SAITUAL
46,12210,OBC,1,0,0,0,0,0,1,0,1,SAITUAL
47,12210,Overall,4,1,0,3,0,0,3,2,2,SAITUAL
48,12210,SC,0,0,0,1,0,1,0,1,0,SAITUAL
49,12210,ST,0,3,0,0,4,1,2,1,2,SAITUAL
50,12211,General,4,4,4,1,0,0,1,4,0,SERCHHIP
51,12211,OBC,1,2,2,0,0,0,1,2,1,SERCHHIP
52,12211,Overall,1,1,0,0,1,1,4,2,4,SERCHHIP
53,12211,SC,0,0,0,1,0,1,3,1,1,SERCHHIP
54,12211,ST,0,3,0,4,0,0,4,1,4,SERCHHIP
