Location,ST_upPrim_Boys,Social Category
AHMEDABAD,15.37,ST
AMRELI,7.23,ST
ANAND,0.0,ST
ARAVALLI,3.11,ST
BANAS KANTHA,12.39,ST
BHARUCH,4.42,ST
BHAVNAGAR,38.82,ST
BOTAD,15.24,ST
CHHOTAUDEPUR,6.12,ST
DEVBHOOMI DWARKA,0.0,ST
DOHAD,6.57,ST
GANDHINAGAR,11.78,ST
GIR SOMNATH,0.0,ST
JAMNAGAR,7.18,ST
JUNAGADH,3.45,ST
KACHCHH,11.81,ST
KHEDA,0.0,ST
MAHESANA,6.28,ST
MAHISAGAR,1.93,ST
MORBI,22.23,ST
NARMADA,3.74,ST
NAVSARI,0.0,ST
PANCH MAHALS,6.26,ST
PATAN,0.0,ST
PORBANDAR,0.0,ST
RAJKOT,18.34,ST
SABAR KANTHA,9.23,ST
SURAT,5.49,ST
SURENDRANAGAR,24.84,ST
TAPI,6.29,ST
THE DANGS,6.64,ST
VADODARA,12.9,ST
VALSAD,4.38,ST
