Cluster 1,Cluster 2,Distance,Number of Points
11.0,25.0,0.03000000000000025,2.0
9.0,32.0,0.14999999999999858,2.0
2.0,21.0,0.17999999999999972,2.0
23.0,29.0,0.20000000000000107,2.0
22.0,24.0,0.2599999999999998,2.0
14.0,17.0,0.27000000000000135,2.0
18.0,27.0,0.29000000000000004,2.0
4.0,19.0,0.34999999999999787,2.0
5.0,33.0,0.4214656965084265,3.0
12.0,26.0,0.6100000000000012,2.0
35.0,38.0,0.6151828996322958,4.0
0.0,10.0,0.629999999999999,2.0
28.0,36.0,0.6581793068761727,3.0
15.0,16.0,0.7200000000000024,2.0
1.0,34.0,1.379867143363206,3.0
7.0,46.0,1.4433756729740665,3.0
31.0,40.0,1.5761662348876784,3.0
39.0,42.0,1.9516147160748716,4.0
37.0,45.0,2.230838407415472,5.0
3.0,41.0,2.4290773282599853,4.0
8.0,13.0,2.6600000000000037,2.0
43.0,44.0,2.7556759606310743,6.0
48.0,49.0,4.358994532381675,6.0
47.0,51.0,5.281458289778179,8.0
50.0,52.0,5.295,8.0
6.0,53.0,7.124502321799984,3.0
30.0,57.0,8.748333333333335,9.0
54.0,56.0,8.821458212789992,14.0
55.0,60.0,22.944679848133276,20.0
20.0,58.0,27.809873546398357,4.0
59.0,61.0,34.52071930453769,29.0
62.0,63.0,68.78100867869658,33.0
