"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017																																																							"
Location	Social Category	Girls	Boys	Overall	Girls	Boys	Overall	Girls	Boys	Overall																																													
ANDAMANS	General	3.3	0.19	1.71	2.32	1.96	2.14	4.34	6.87	5.69																																													
ANDAMANS	OBC	0	0.97	0	0	0	0	0	0	0																																													
ANDAMANS	SC	0	0	0	0	0	0	0	0	0																																													
ANDAMANS	ST	0	1.84	0.57	5.5	3.37	4.5	10.93	3.39	7.17																																													
ANDAMANS	Overall	1.46	0.26	0.84	1.67	0.77	1.22	2.86	5.28	4.14																																													
MIDDLE AND NORTH ANDAMANS	General	0.73	2.05	1.4	0	0	0	6.99	5.75	6.34																																													
MIDDLE AND NORTH ANDAMANS	OBC	0	0	0	0	4.46	1.91	1.48	7.45	4.6																																													
MIDDLE AND NORTH ANDAMANS	SC	0	0	0	0	0	0	0	0	0																																													
MIDDLE AND NORTH ANDAMANS	ST	2.5	0	0	9.52	20	16.07	4.55	20	12.77																																													
MIDDLE AND NORTH ANDAMANS	Overall	0.12	0.8	0.47	0	0.66	0	4.47	6.53	5.54																																													
NICOBARS	General	0	0.39	0	0	3.7	1.72	13.64	0	6.58																																													
NICOBARS	OBC	0	22.22	10	0	25	14.29	0	0	0																																													
NICOBARS	SC	0	0	0	50	0	0	0	0	0																																													
NICOBARS	ST	0	0	0	2	1.88	1.94	8.29	13.9	11.15																																													
NICOBARS	Overall	0	0	0	1.54	2.33	1.94	9.43	9.69	9.56																																													
