Location,General_snr_Overall,Social Category
AHMEDABAD,8.28,General
AMRELI,1.21,General
ANAND,17.98,General
ARAVALLI,13.47,General
BANAS KANTHA,12.87,General
BHARUCH,19.12,General
BHAVNAGAR,11.54,General
BOTAD,3.51,General
CHHOTAUDEPUR,19.89,General
DEVBHOOMI DWARKA,23.23,General
DOHAD,28.48,General
GANDHINAGAR,5.38,General
GIR SOMNATH,17.37,General
JAMNAGAR,6.79,General
JUNAGADH,7.81,General
KACHCHH,18.48,General
KHEDA,18.64,General
MAHESANA,15.19,General
MAHISAGAR,17.18,General
MORBI,2.96,General
NARMADA,22.76,General
NAVSARI,12.21,General
PANCH MAHALS,16.8,General
PATAN,14.88,General
PORBANDAR,13.51,General
RAJKOT,0.79,General
SABAR KANTHA,10.38,General
SURAT,9.71,General
SURENDRANAGAR,7.55,General
TAPI,15.59,General
THE DANGS,0.0,General
VADODARA,11.08,General
VALSAD,12.33,General
